Date,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nhnl_z,median_stock_vol_20_z,median_stock_vol_50_z,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_dist_200_z,nifty50_persistence_200,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_50,nifty50_vol_50_z,nifty50_mom_63,nifty50_mom_126,nifty50_mom_12_1,nifty50_mom_12_1_z,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_mom_63,nifty_total_mom_126,nifty_total_mom_12_1,nifty_total_mom_12_1_z
2025-01-03,69,0.10327567343170857,33.776337115072934,-0.3011203647124492,-29.33549432739059,39.546191247974065,0.13722203068488498,-2.787682333873583,38.055105348460295,-0.9870599896461433,-3.9546191247974036,-0.4546709827369302,-1.251365083220293,-1.4610038606178422,0.0,1.0,0.8174244135386255,-1.8659724133908662,95.19999999999999,0.12421685188101567,-0.15142576092910365,0.13502390011888402,-0.10367949872704163,-0.0493205967501118,-0.011601095258682803,0.1235221384638836,-2.3939871262031325,1.0,1.0,1.2239596960020194,-1.7961349783489664,99.2,0.1100035211212565,-0.5213452429807643,0.13180439508981862,-0.5746959812985278,-0.04222790671620891,-0.003380649473279318,0.1920449489752507,-2.591706847220246
2025-01-06,-2112,-2.043060179762104,17.11507293354943,-1.3821575720738146,-48.46029173419774,26.38573743922204,-0.9504502390098036,-19.15721231766613,31.92868719611021,-1.9763023685658379,-11.247974068071315,-2.0906032472749327,-0.7613457226652312,-0.9408530013628726,0.0,0.0,0.7895939560072618,-2.2366673264789103,94.8,0.13496379721928536,0.028311307295322646,0.13967507213113417,0.021013755620077883,-0.05590934894021893,-0.02823207000203698,0.13040957962206856,-2.212886427635339,0.0,0.0,1.2024686686824104,-2.2109253017199,98.8,0.13199369984509796,-0.1916266668946263,0.14075574701339053,-0.34197106645518993,-0.05440715276521313,-0.027873902850167553,0.19220164659154393,-2.5333121626648434
2025-01-07,1228,1.257883393935647,23.9870340356564,-0.9517673806643051,-42.528363047001626,31.21555915721232,-0.5643313546886038,-16.077795786061586,33.84116693679092,-1.6560048471054467,-9.983792544570505,-1.0859119575386793,-0.7424946505718549,-0.9325494803482748,0.0,0.0,0.7703355801766065,-2.115077085393688,94.39999999999999,0.13667153919282743,0.0550675397758347,0.14003583348547124,0.028816803835917643,-0.04387243781696459,-0.025322882685101078,0.1335570704321286,-2.112906481524909,0.0,0.0,1.18908824170878,-2.0740527518445475,98.4,0.1351367291886697,-0.14384496730743565,0.1413905088666706,-0.3254876467804636,-0.03349854071072367,-0.02546218519848764,0.19772831293353588,-2.393171405192976
2025-01-08,-1015,-1.0106591482120315,22.139384116693677,-1.0836943974785822,-45.12155591572123,28.0064829821718,-0.8430758324234281,-21.10210696920584,32.28525121555916,-1.8928051888464719,-11.92868719611021,-1.4720247599870804,-0.7712143561497985,-1.1894308428420044,0.0,0.0,0.7519378590524317,-2.106954907225668,94.0,0.13661589433379315,0.05193598812899803,0.1387024471837223,-0.009388891854489153,-0.05294015347926995,-0.025969807426230007,0.13870094112611586,-1.9794567279791537,0.0,0.0,1.1739582925324843,-2.147431409789695,98.0,0.13495872967585912,-0.1457329049075479,0.1387634295048667,-0.3933404702961644,-0.05241822862017165,-0.029615027829313578,0.19877091833498994,-2.332119669008611
2025-01-09,-1320,-1.2660283384203739,19.027552674230147,-1.3000993161698131,-48.68719611021069,24.86223662884927,-1.1226809545571725,-26.288492706645055,30.502431118314426,-2.159406310922841,-14.035656401944891,-2.192351289614367,-0.7708266487181876,-1.323755031899025,0.0,0.0,0.7360652549397662,-2.2385584408412247,93.60000000000001,0.1371577073569426,0.05932252022720304,0.1385193287923791,-0.016127053619571674,-0.058260063766039094,-0.0371093430250643,0.1302716387256624,-2.113434558327382,0.0,0.0,1.1594522884188052,-2.28044594008562,97.6,0.13562008051662852,-0.1348054247929028,0.13902720610313632,-0.3859809356647721,-0.06425553350174418,-0.0418225630129182,0.18785905366282174,-2.4592354464824466
2025-01-10,-1847,-1.7029008148327,13.549432739059968,-1.6692950133849718,-49.918962722852505,19.286871961102108,-1.6070645377724695,-28.330632090761746,26.612641815235012,-2.733536917302561,-16.79092382495948,-3.1508834512666746,-0.628588704562181,-1.2546028249692724,0.0,0.0,0.7167213379381643,-2.2977267907625736,93.2,0.13719789859269066,0.05806892049744249,0.13804814463270826,-0.030666898665309614,-0.06268188627694915,-0.03670997699845224,0.1283712159310766,-2.1184082975674277,0.0,0.0,1.137772539842108,-2.4603312113407383,97.2,0.13918327130452204,-0.0808946847430441,0.14041944932668518,-0.34954176967393896,-0.07538028423121879,-0.04920998113849295,0.18458869739396244,-2.46298433367326
2025-01-13,-2231,-1.969025369272308,7.811993517017828,-2.042769171855111,-52.479740680713135,12.544570502431117,-2.173152947920922,-34.23014586709887,21.620745542949756,-3.4129872628070697,-20.972447325769856,-4.7587651808376705,-0.013599378374008847,-0.7617735553698894,0.0,0.0,0.6852880466064581,-2.581990258896786,92.80000000000001,0.1373189666975483,0.0582174202882975,0.14127808531140554,0.05547784942628962,-0.07523959261744295,-0.050584081641885215,0.13270189526028942,-2.004103961485078,0.0,0.0,1.0984514509692955,-2.8658539399553247,96.8,0.1587537212162595,0.21109834488908621,0.1517937518560222,-0.0550637476757995,-0.10032373398230354,-0.07551269286282136,0.18495617649348428,-2.4110442593562973
2025-01-14,1341,1.4359429653601015,10.21069692058347,-1.8747725141844729,-49.692058346839545,14.13290113452188,-2.0318555835193344,-33.80875202593192,23.59805510534846,-3.0301126564111147,-19.708265802269043,-1.4568605594569892,0.27900029382466074,-0.6909431763806547,0.0,0.0,0.656015443810487,-2.44924663164685,92.4,0.13978419167999206,0.09796393203782615,0.1413195843352746,0.054661818514137504,-0.07767844173519933,-0.05412178114981758,0.13999762984682362,-1.8376217970697764,0.0,0.0,1.0630596307864115,-2.6143919582200392,96.39999999999999,0.16811792544672036,0.3499785226585369,0.15444172015383195,0.012565636241311958,-0.09438659181125675,-0.0683529312240928,0.18845088520396225,-2.315017711340125
2025-01-15,161,0.36095022046541975,11.572123176661265,-1.7775480372196042,-41.84764991896272,15.07293354943274,-1.9487413092192392,-30.210696920583466,23.85737439222042,-2.9237987794391413,-18.282009724473255,-1.4014074179122353,0.3185311916193124,-0.7341310982054403,0.0,0.0,0.6345927993831824,-2.372646797230216,92.0,0.13504496394421864,0.01602356044992391,0.14098204292202396,0.04325763497869452,-0.07359716809638683,-0.055863535976767964,0.1327403185559557,-1.9517183485536573,0.0,0.0,1.0335924999433033,-2.5116391215050284,96.0,0.16822366670204483,0.35056962905295186,0.15387542834251083,-0.0033260442841116945,-0.09214236890563898,-0.06983383466127835,0.18568915101621886,-2.317724907463138
2025-01-16,1262,1.3852891993778007,16.40194489465154,-1.4571563749814587,-26.158833063209077,17.244732576985413,-1.7638762136760602,-24.051863857374393,25.380875202593195,-2.6503228415890665,-15.07293354943274,-1.054603352772904,0.5041381659333607,-0.6984845828949591,0.0,0.0,0.6172715484231484,-2.2447938107841012,91.60000000000001,0.13640577236847007,0.037432550307905585,0.13877125230782084,-0.01918555050796833,-0.06645629182301283,-0.05286637142973227,0.11898257992451733,-2.1808415392030005,0.0,0.0,1.0105692137114985,-2.3379920561318275,95.6,0.17238484858529704,0.4113894199383756,0.15247380041325428,-0.04080400965293696,-0.08287536874260648,-0.062319151216375546,0.1730578389568458,-2.4624962126821264
