Date,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_dist_200_z,nifty50_persistence_200,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_50,nifty50_vol_50_z,nifty50_mom_63,nifty50_mom_126,nifty50_mom_12_1,nifty50_mom_12_1_z,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_mom_63,nifty_total_mom_126,nifty_total_mom_12_1,nifty_total_mom_12_1_z
2007-05-30,-272,-1.3502371209924164,10.761750405186387,0.16452288840143414,-3.2739059967585096,13.581847649918963,0.8650272227489677,1.3290113452188006,8.39546191247974,0.8053269325142658,1.1993517017828195,0.2641457985522703,0.34461849818927903,-1.1545186623570363,0.38442777834545533,-0.9430642614744422,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-31,39,0.14421138870237926,11.150729335494328,0.2580429699318514,-3.306320907617504,13.873581847649918,0.9292957893536767,0.6807131280388976,8.39546191247974,0.7993037791430794,0.4538087520259326,0.47962889155483873,0.34009913017987053,-1.2541218718427976,0.3841616440833354,-0.9630235832495827,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-01,116,0.532429013769861,12.73905996758509,0.6391038924700091,-0.7455429497568886,14.230145867098864,1.0098689963203007,1.1021069692058347,8.816855753646676,1.0534742286141245,0.8427876823338725,1.081361385475658,0.34419151953365146,-1.140483555272501,0.38502976588371923,-0.9572053593699731,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-04,-168,-0.8630968217277616,11.86385737439222,0.4333571874869397,-1.069692058346842,13.743922204213938,0.8834028566673047,0.583468395461912,8.687196110210698,0.9655106826178022,0.6158833063209084,0.4710983006549859,0.3485800607447348,-1.0209963917776705,0.3860145484135473,-0.9531468192810307,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-05,8,0.018906499840759185,11.9935170178282,0.47074165873390506,0.9076175040518635,14.230145867098864,1.0000932592957408,1.6855753646677467,8.687196110210698,0.9575462272075731,0.940032414910859,0.42234356447467997,0.34551934547063634,-1.0870778186336663,0.38432900721031593,-1.0258745211387186,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-06,-401,-1.9186941719425752,9.432739059967584,-0.13883226524185,-0.8427876823338742,12.771474878444083,0.6391241139774441,0.2593192868719587,8.103727714748784,0.5800389971317715,0.42139384116693535,-0.10719179747778196,0.3515062867723644,-0.928705754828526,0.38541037120369903,-1.0336125263210583,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-07,-171,-0.7871351145961596,8.687196110210698,-0.3118566173930086,-1.6207455429497557,12.155591572123177,0.48914427766510055,-0.6158833063209066,7.876823338735818,0.4280143905508818,0.16207455429497486,-0.11557794701126224,0.35082246896634606,-0.9373219280205732,0.38698602128050685,-1.0269183213020217,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-08,-223,-1.05457661804042,7.098865478119936,-0.6907224133552782,-3.111831442463534,11.183144246353322,0.250825482094045,-1.7179902755267413,7.811993517017828,0.3787653647268586,0.19448946515397036,0.04795532163299166,0.35413838760697025,-0.8450260101760354,0.3871975178747659,-1.042363442477575,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-11,-157,-0.7704649028256226,6.904376012965964,-0.7302588560977897,-4.408427876823338,10.761750405186387,0.1497678856352731,-2.852512155591569,7.8444084278768225,0.3921707805504816,0.03241491085899462,-0.11607494294000573,0.34547734085120135,-1.0533435646581646,0.38666243427022773,-1.0736100759110707,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-12,-313,-1.4863275638386213,5.445705024311183,-1.078458073062987,-6.158833063209077,9.52998379254457,-0.1528095340612044,-4.538087520259319,7.520259319286872,0.17461751615250182,-0.6158833063209084,-0.7272208107411308,0.34523462368165825,-1.0489515808575274,0.38505966943690423,-1.1437591406359868,,,,,,,,,,,,,,,,,,,,,,,,,,
