Date,adv,dec,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nh,nl,nhnl,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_dist_200_z,nifty50_dma200_slope_pct,nifty50_persistence_200,nifty50_vol_20_z,nifty50_vol_50_z,nifty50_mom_126,nifty_total_dist_200_z,nifty_total_dma200_slope_pct,nifty_total_persistence_200,nifty_total_vol_20_z,nifty_total_vol_50_z,nifty_total_mom_126
2013-10-01,542,348,194,0.8414691175368894,44.766839378238345,0.6258360674414811,-0.1606968536457103,51.398963730569946,2.001903390338023,27.692959589783197,20.51813471502591,3.462999914325233,6.439459766785742,0,0,0,-0.30946340749248635,0.40062616894006237,0.48231674840004013,0.4770456328969118,1.878925858790492,-0.773667216340623,0.0725905029431484,62.0,1.9446288904580258,2.177672527707179,0.013261692728420371,,,,,,
2013-10-03,606,269,337,1.2542498540257172,52.5940996948118,1.0835445162538209,18.951168838258653,56.561546286876904,2.3106938434513618,37.57289819606163,21.46490335707019,3.5078957115139744,9.596998300310645,0,0,0,-0.3034533012260685,0.3977769150962387,0.4248855261633549,0.48004459520949927,1.9138949260079738,-0.3425214614852825,0.10000221532027176,62.4,1.4490842713298973,2.233864330055095,0.02811363754979901,,,,,,
2013-10-04,437,443,-6,0.143336409538665,51.98372329603256,1.0481284297242752,13.420970259595308,56.76500508646999,2.2869607194595862,34.39658403383841,22.075279755849444,3.4879885192651496,9.018599593906123,0,0,0,-0.29777213954484644,0.3966398978763839,0.3980597510520037,0.48124429783237366,1.9105858892715195,-0.3445852944358033,0.115041960210438,62.8,1.359271468784116,2.1953131483847366,0.04131925470218056,,,,,,
2013-10-07,512,362,150,0.6339391900859476,53.284671532846716,1.1249534916284791,4.759747829896561,59.74973931178311,2.4404077526564123,34.01220116325818,23.774765380604794,3.640173103291175,9.329190609495942,0,0,0,-0.2923482432487027,0.3888481775907238,0.2514022309559392,0.4767081457422009,1.791079888620343,-0.3414989946145359,0.11399421351128147,63.2,1.1566801421402972,2.1472028546117796,0.05944661195569312,,,,,,
2013-10-08,485,379,106,0.46315222234863496,54.36991869918699,1.1902777865431897,1.5893322482264267,59.65447154471545,2.3926108519970164,30.837484689305946,23.47560975609756,3.4608347452091013,8.308774569039924,0,0,0,-0.28653713620818244,0.3866289682396622,0.20498932704676448,0.4831311660503193,1.8968229264753682,-0.2603852999839146,0.10455243587466079,63.6,1.0800884285245365,2.081108225494827,0.06755503533966589,,,,,,
2013-10-09,592,292,300,1.0548532138638225,59.478435305917756,1.483865599758693,-2.0984110014674684,63.490471414242734,2.5904766300084394,29.658136084901415,24.874623871614844,3.5539625436621476,8.706959200956163,0,0,0,-0.27907299391449386,0.3832617559542522,0.13761130712293662,0.48465204976063386,1.9007528144897157,,,,,,,,,,,,
2013-10-10,538,351,187,0.6552589551251364,63.92785571142284,1.7239293774686197,-1.8064100228428899,65.6312625250501,2.672329672508771,26.57032346411104,25.450901803607213,3.512449852482834,7.968384321089729,0,0,0,-0.27106884916219676,0.3824130727430818,0.11642410582640145,0.48092582010560764,1.799884686014672,0.053504980663996074,0.08932789923374873,64.0,0.6177683756642823,2.0558459803854925,0.08623566873235378,,,,,,
2013-10-11,476,427,49,0.17549281799776673,62.5,1.623497136434945,-4.467871485943775,65.27777777777779,2.5985405572545117,24.414323962516747,26.091269841269842,3.481265188274427,8.721791929623254,0,0,0,-0.26269511371999993,0.3790001423236701,0.04815432793133361,0.4822160160830562,1.802051132905268,0.30671917900557355,0.08614531576387474,64.4,0.6650857314383529,2.045279064552577,0.10938836417899567,,,,,,
2013-10-14,480,428,52,0.15110362456023774,62.66137040714995,1.6160570522489226,-5.6165752121853885,65.34260178748758,2.553568967350619,20.73031578547348,26.31578947368421,3.3935027667828046,8.994540732495889,0,0,0,-0.2568016637484223,0.38101261924291063,0.07871744750074867,0.4799572724620709,1.734081047332747,0.36317481164068954,0.08894207743019855,64.8,0.5890423756963679,1.9976039787279976,0.09966359040782913,,,,,,
2013-10-15,287,624,-337,-1.1868002442585306,58.20745216515609,1.3478440402566285,-7.621693563487121,64.55186304128902,2.460224065007832,22.34080776490712,25.27693856998993,3.143546632022326,8.794526509688424,0,0,0,-0.24847556867765305,0.37888962352700367,0.03319906049919569,0.4728420417196114,1.5721675384180946,0.287133378898545,0.08624994889263604,65.2,0.5965366412378142,1.9381086827645264,0.08849660350375399,,,,,,
2013-10-17,435,451,-16,-0.10511288192656855,56.743256743256744,1.2538711856982978,-7.420907420907419,65.13486513486514,2.4520006215810977,23.493223493223496,25.47452547452547,3.0785595648539643,8.757808757808753,0,0,0,-0.23938241158585785,0.378901388582198,0.02600875490696578,0.4665278192811884,1.4296766110415093,0.14395182608042864,0.09160547684226028,65.60000000000001,0.6199744816491214,1.9199937967644793,0.09356883812211159,,,,,,
2013-10-18,565,339,226,0.7103261883162223,61.49253731343284,1.5099164962555542,-2.857915858772593,67.2636815920398,2.533388270100613,23.557740000901838,26.169154228855724,3.081614613476621,9.754249898543538,0,0,0,-0.23023743904855973,0.3791587280981942,0.022638436728376336,0.4622177447689143,1.3292216118889664,0.6331616023506259,0.11350375320078321,66.0,0.8062065192258295,1.971684959899949,0.111513181524316,,,,,,
2013-10-21,593,309,284,0.8866925031977886,65.54455445544555,1.7258558105724977,-3.5337408864771476,68.9108910891089,2.5820623225287025,18.26668890873229,27.821782178217823,3.201882356646237,9.189472961171244,0,0,0,-0.22056719167879155,0.378861595174613,0.008794251497174124,0.4596973103536386,1.2656649199362597,0.6870754396991486,0.1374949793143454,66.4,0.7840918286095616,1.9257619422135572,0.09070215066049103,,,,,,
2013-10-22,601,328,273,0.821331423714099,66.99123661148978,1.7999096088363455,5.840883432882322,68.93865628042843,2.5358938895633885,21.10818201201269,29.892891918208374,3.357175675014087,11.426696156351664,0,0,0,-0.21129307175544335,0.3803070033624062,0.027700417050393448,0.4556332381780981,1.1723921837062294,0.6829801123678716,0.1380953185956768,66.8,0.2320239478627876,1.8993857680049233,0.09037214126250293,,,,,,
2013-10-23,433,493,-60,-0.3799511028596901,67.22772277227723,1.8101449849126112,8.818860738037557,69.7029702970297,2.533159678077372,24.285044818681257,30.89108910891089,3.3663083110164904,12.36138115322106,0,0,0,-0.2017409901642645,0.3755936603865929,-0.06989779508518473,0.45264375078156444,1.101485382809579,0.6050805825756166,0.14340855150087872,67.2,0.06620631003165109,1.7556853684190745,0.06834569694454529,,,,,,
2013-10-24,377,528,-151,-0.6835808835281949,63.20939334637965,1.5871273716276664,5.747464412369496,66.82974559686889,2.3280267712076967,20.129237982655688,29.74559686888454,3.1267241722399386,10.862348137920073,0,0,0,-0.1908889902098826,0.3837253611486958,0.07688656126197631,0.45203423437384943,1.0786579058645915,0.5640095519157389,0.15758310717992607,67.60000000000001,-0.21912745298441394,1.7300566427658206,0.05655251611133982,,,,,,
